"File Time","Total Events","Opens","Closes","Reads","Writes","Read Bytes","Write Bytes","Get ACL","Set ACL","Other","Path"
"0.0000975","11","2","2","3","0","123 808","0","0","0","4","D:\GoldenDict\ruenru\Ru-En-Smirnitsky.ann"
"0.0000913","8","2","2","0","0","0","0","0","0","4","C:\Anaconda\Lib\importlib\machinery.py"
"0.0000911","8","2","2","0","0","0","0","0","0","4","C:\Anaconda\Lib\genericpath.py"
"0.0000897","13","2","2","0","0","0","0","0","0","9","C:\Windows\System32\ru-RU\kernel32.dll.mui"
"0.0000891","6","6","0","0","0","0","0","0","0","0","C:\Windows\libcrypto-1_1-x64.dll"
"0.0000872","8","2","2","0","0","0","0","0","0","4","C:\Anaconda\Lib\contextlib.py"
"0.0000863","8","2","2","0","0","0","0","0","0","4","C:\Anaconda\Lib\_collections_abc.py"
"0.0000858","8","2","2","0","0","0","0","0","0","4","C:\Anaconda\Lib\_sitebuiltins.py"
"0.0000810","11","1","1","0","0","0","0","0","0","9","C:\Windows\System32\nsi.dll"
"0.0000803","5","1","1","0","0","0","0","0","0","3","C:\Windows"
"0.0000750","11","1","1","0","0","0","0","0","0","9","C:\Windows\System32\user32.dll"
"0.0000737","11","1","1","0","0","0","0","0","0","9","C:\Windows\System32\lpk.dll"
"0.0000689","3","3","0","0","0","0","0","0","0","0","C:\Anaconda\python37.zip"
"0.0000677","3","3","0","0","0","0","0","0","0","0","C:\Windows\System32\api-ms-win-core-fibers-l1-1-1.DLL"
"0.0000665","4","1","1","0","0","0","0","0","0","2","D:\GoldenDict\ruenru"
"0.0000660","8","1","1","2","0","6 571","0","0","0","4","C:\Anaconda\Lib\__pycache__\hashlib.cpython-37.pyc"
"0.0000656","11","1","1","0","0","0","0","0","0","9","C:\Windows\System32\apisetschema.dll"
"0.0000635","11","1","1","0","0","0","0","0","0","9","C:\Windows\System32\usp10.dll"
"0.0000635","8","1","1","0","0","0","0","0","0","6","C:\Windows\System32\locale.nls"
"0.0000635","4","4","0","0","0","0","0","0","0","0","C:\Windows\System32\api-ms-win-core-path-l1-1-0.dll"
"0.0000616","20","0","10","0","0","0","0","0","0","10","C:\Program Files (x86)\Common Files\Oracle\Java\javapath"
"0.0000605","11","1","1","0","0","0","0","0","0","9","C:\Windows\System32\shlwapi.dll"
"0.0000604","2","2","0","0","0","0","0","0","0","0","C:\Anaconda\pyvenv.cfg"
"0.0000603","11","1","1","0","0","0","0","0","0","9","C:\Windows\System32\msvcrt.dll"
"0.0000597","4","4","0","0","0","0","0","0","0","0","C:\Anaconda\api-ms-win-core-path-l1-1-0.dll"
"0.0000591","11","1","1","0","0","0","0","0","0","9","C:\Windows\System32\ws2_32.dll"
"0.0000591","10","1","1","0","0","0","0","0","0","8","C:\Anaconda\Lib\site-packages\win32\pythoncom37.dll"
"0.0000569","11","1","1","0","0","0","0","0","0","9","C:\Windows\System32\msctf.dll"
"0.0000567","4","1","1","0","0","0","0","0","0","2","C:"
"0.0000562","11","1","1","0","0","0","0","0","0","9","C:\Windows\System32\rpcrt4.dll"
"0.0000538","11","1","1","0","0","0","0","0","0","9","C:\Windows\System32\gdi32.dll"
"0.0000534","11","1","1","0","0","0","0","0","0","9","C:\Windows\System32\advapi32.dll"
"0.0000521","3","3","0","0","0","0","0","0","0","0","C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common\libcrypto-1_1-x64.dll"
"0.0000514","3","3","0","0","0","0","0","0","0","0","C:\Program Files (x86)\Skype\Phone\libcrypto-1_1-x64.dll"
"0.0000511","3","3","0","0","0","0","0","0","0","0","C:\Program Files (x86)\Calibre2\libcrypto-1_1-x64.dll"
"0.0000509","10","1","1","0","0","0","0","0","0","8","C:\Anaconda\DLLs\_socket.pyd"
"0.0000509","4","4","0","0","0","0","0","0","0","0","C:\Windows\api-ms-win-core-path-l1-1-0.dll"
"0.0000495","11","1","1","0","0","0","0","0","0","9","C:\Windows\System32\ntdll.dll"
"0.0000477","4","1","1","0","0","0","0","0","0","2","C:\Anaconda\Lib\site-packages\mpl_toolkits"
"0.0000470","2","2","0","0","0","0","0","0","0","0","C:\pyvenv.cfg"
"0.0000448","10","1","1","0","0","0","0","0","0","8","C:\Anaconda\DLLs\select.pyd"
"0.0000420","8","1","1","0","0","0","0","0","0","6","C:\Windows\System32\C_1252.NLS"
"0.0000413","5","1","1","0","0","0","0","0","0","3","C:\Program Files (x86)\Skype"
"0.0000413","2","2","0","0","0","0","0","0","0","0","C:\Program Files (x86)\Calibre2\api-ms-win-core-path-l1-1-0.dll"
"0.0000410","3","3","0","0","0","0","0","0","0","0","C:\Program Files (x86)\ATI Technologies\ATI.ACE\Core-Static\libcrypto-1_1-x64.dll"
"0.0000386","5","1","1","0","0","0","0","0","0","3","C:\Windows\System32"
"0.0000378","3","3","0","0","0","0","0","0","0","0","C:\Anaconda\DLLs\libcrypto-1_1-x64.dll"
"0.0000377","3","3","0","0","0","0","0","0","0","0","C:\Program Files\Common Files\Intel\WirelessCommon\libcrypto-1_1-x64.dll"
"0.0000370","2","2","0","0","0","0","0","0","0","0","C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common\api-ms-win-core-path-l1-1-0.dll"
"0.0000361","3","3","0","0","0","0","0","0","0","0","C:\Anaconda\Scripts\libcrypto-1_1-x64.dll"
"0.0000352","5","1","1","0","0","0","0","0","0","3","C:\Windows\Globalization\Sorting"
"0.0000344","5","1","1","0","0","0","0","0","0","3","C:\Anaconda\Lib\importlib\__pycache__"
"0.0000342","3","3","0","0","0","0","0","0","0","0","C:\Windows\System32\wbem\libcrypto-1_1-x64.dll"
"0.0000341","5","1","1","0","0","0","0","0","0","3","C:\Windows\System32\ru-RU"
"0.0000341","3","3","0","0","0","0","0","0","0","0","C:\Program Files (x86)\Common Files\Oracle\Java\javapath_target_1272203\LIBCRYPTO-1_1-X64.DLL"
"0.0000340","5","1","1","0","0","0","0","0","0","3","C:\Anaconda\Lib\__pycache__"
"0.0000337","3","3","0","0","0","0","0","0","0","0","C:\Program Files (x86)\Common Files\Across\libcrypto-1_1-x64.dll"
"0.0000337","3","3","0","0","0","0","0","0","0","0","C:\Program Files\Intel\WiFi\bin\libcrypto-1_1-x64.dll"
"0.0000336","5","1","1","0","0","0","0","0","0","3","C:\Anaconda\Lib\collections\__pycache__"
"0.0000336","2","2","0","0","0","0","0","0","0","0","C:\Program Files (x86)\Skype\Phone\api-ms-win-core-path-l1-1-0.dll"
"0.0000335","5","1","1","0","0","0","0","0","0","3","C:\Anaconda\Lib\encodings\__pycache__"
"0.0000334","5","1","1","0","0","0","0","0","0","3","C:\Anaconda\Lib\collections"
"0.0000333","5","1","1","0","0","0","0","0","0","3","C:\Windows\Globalization"
"0.0000328","5","1","1","0","0","0","0","0","0","3","C:\Program Files (x86)\NVIDIA Corporation"
"0.0000324","5","1","1","0","0","0","0","0","0","3","C:\Program Files (x86)"
"0.0000324","3","3","0","0","0","0","0","0","0","0","C:\Anaconda\libcrypto-1_1-x64.dll"
"0.0000324","3","3","0","0","0","0","0","0","0","0","C:\Users\Андрей\Desktop\HW scripts\libcrypto-1_1-x64.dll"
"0.0000320","1","1","0","0","0","0","0","0","0","0","C:\Anaconda\Lib\site-packages\mpl_toolkits\__init__.cp37-win_amd64.pyd"
